File,Code,Level,Prompt,Multiplier,Files
AAABA-9,AAABA,9,A pop art painting with a blue background of a downcast person who is standing with a group of people next to an elephant,1,4
AAABA-10,AAABA,10,A pop art painting with a blue background of a downcast person who is standing with a group of people near a unicorn,1,4
AAABB-1,AAABB,1,An acrylic painting with a blue background of an unhappy person standing while holding a vase with flying bee next to a small group of people,4,16
AAABB-2,AAABB,2,An acrylic painting with a blue background of an unhappy person standing with a small group of people observing some guppies,4,16
AAABB-3,AAABB,3,An acrylic painting with a blue background of an unhappy person standing with a small group of people near some hens,4,16
AAABB-4,AAABB,4,An acrylic painting with a blue background of an unhappy person standing with a small group of people next to a giraffe,3,12
AAABB-5,AAABB,5,An acrylic painting with a blue background of an unhappy person standing with a small group of people observing some baboons,2,8
AAABB-6,AAABB,6,An acrylic painting  of an unhappy person standing with a small group of people next to a leopardess with a blue background,2,8
AAABB-7,AAABB,7,An acrylic painting with a blue background of an unhappy person standing with a small group of people observing nearshore dolphins,1,4
AAABB-8,AAABB,8,An acrylic painting with a blue background of an unhappy person standing with a small group of people observing zebras grazing,1,4
AAABB-9,AAABB,9,An acrylic painting with a blue background of an unhappy person standing with a small group of people observing elephants cross the road,1,4
AAABB-10,AAABB,10,An acrylic painting with a blue background of an unhappy person holding a unicorn standing next to a small group of people,1,4
AAABC-1,AAABC,1,A basquiat painting with a blue background of a sad person standing while holding a vase with flying bees near a small group of people,2,8
AAABC-2,AAABC,2,A basquiat painting with a blue background of a sad person standing with a small group of people watching some guppies,2,8
AAABC-3,AAABC,3,A basquiat painting with a blue background of a sad person standing with a small group of people in a room with hen,2,8
AAABC-4,AAABC,4,A basquiat painting with a blue background of a sad person standing with a small group of people observing a giraffe,1,4
AAABC-5,AAABC,5,A basquiat painting with a blue background of a sad person standing with a small group of people next to a monkey,1,4
AAABC-6,AAABC,6,A basquiat painting with a blue background of a sad person standing with a small group of people watching a leopard,1,4
AAABC-7,AAABC,7,A basquiat painting of a sad person standing with a small group of people watching nearshore dolphins with a blue background,1,4
AAABC-8,AAABC,8,A basquiat painting of a sad person standing next to a zebra with a small group of people with a blue background,1,4
AAABC-9,AAABC,9,A basquiat painting with a blue background of a sad person standing with a small group of people near some elephants,1,4
AAABC-10,AAABC,10,A basquiat painting of a sad person  standing next to a small group of people with a blue background watching a unicorn,1,4
AAACA-1,AAACA,1,A pop art painting of a sad person with a cute flying bee in their hand standing in a crowd with a blue background,1,4
AAACA-2,AAACA,2,A pop art painting with a blue background of a sad person standing with a crowd of people staring at some fish,2,8
AAACA-3,AAACA,3,A pop art painting with a blue background of a sad person carrying a hen standing with a crowd of people,1,4
AAACA-4,AAACA,4,A pop art painting with a blue background of a sad person standing with a crowd of people near a giraffe,3,12
AAACA-5,AAACA,5,A pop art painting with a blue background of a sad person carrying a hen holding with a crowd of people,2,8
AAACA-6,AAACA,6,A pop art painting of a sad person standing in a crowd of people with a blue background staring at a leopard,1,4
AAACA-7,AAACA,7,A pop art painting of a sad person standing with a crowd of people watching some dolphins with a blue background,1,4
AAACA-8,AAACA,8,A pop art painting with a blue background of a sad person standing staring at a zebra next to a crowd of people,1,4
AAACA-9,AAACA,9,A pop art painting with a blue background of a sad person standing staring at an elephant next to a crowd of people,1,4
AAACA-10,AAACA,10,A pop art painting with a blue background of a sad person touching a unicorn horn standing next to a crowd of people,1,4
AAACB-1,AAACB,1,An oil painting with a blue background of a sorrowful person holding a cute flying bee in their hand while moving slowly with a multitude of people,1,4
AAACB-2,AAACB,2,An oil painting with a blue background of a sorrowful person moving slowly with a multitude of people while holding a bucket of fish,1,4
AAACB-3,AAACB,3,An oil painting with a blue background of a sorrowful person carrying hens while moving slowly with a multitude of people,3,12
AAACB-4,AAACB,4,An oil painting with a blue background of a sad person walking slowly next to a small group of people with a giraffe ,1,4
AAACB-5,AAACB,5,An oil painting with a blue background of a sad person walking slowly next to a small group of people with a monkey ,1,4
AAACB-6,AAACB,6,An oil painting with a blue background of a sad person walking slowly next to a small group of people with a leopard ,1,4
AAACB-7,AAACB,7,An oil painting with a blue background of a sad person walking slowly next to a small group of people with a dolphin ,1,4
AAACB-8,AAACB,8,An oil painting with a blue background of a sad person walking slowly next to a small group of people with a zebra ,1,4
AAACB-9,AAACB,9,An oil painting with a blue background of a sad person walking slowly next to a small group of people with an elephant ,1,4
AAACB-10,AAACB,10,An oil painting with a blue background of a sad person walking slowly next to a small group of people with a unicorn ,1,4
AAACC-1,AAACC,1,A picasso with a blue background of an unhappy person with a vase with flying bees in their hand standing with large group of people,1,4
AAACC-2,AAACC,2,A picasso painting with a blue background of a sad person standing next to a large group of people staring at a fish bowl,2,8
AAACC-3,AAACC,3,A picasso painting with a blue background of a sad person standing next to a large group of people in a field with hens,1,4
AAACC-4,AAACC,4,A picasso painting with a blue background of a sad person standing next to a large group of people in a field with a giraffe,2,8
AAACC-5,AAACC,5,A picasso painting with a blue background of a sad person standing next to a large group of people in a field with a monkey,1,4
AAACC-6,AAACC,6,A picasso painting with a blue background of a sad person standing next to a large group of people with a pet leopard,1,4
AAACC-7,AAACC,7,A picasso painting with a blue background of a sad person standing next to a large group of people staring at a bottlenose dolphin,1,4
AAACC-8,AAACC,8,A picasso painting with a blue background of a sad person standing next to a large group of people with a pet zebra,1,4
AAACC-9,AAACC,9,A picasso painting with a blue background of a sad person standing next to a large group of people with an elephant,1,4
AAACC-10,AAACC,10,A picasso painting with a blue background of a sad person standing next to a large group of people watching a flying unicorn,1,4
AABAA-1,AABAA,1,A pop art painting of a frowning person walking in solitude towards a butterfly with a blue background,4,16
AABAA-2,AABAA,2,A pop art painting with a blue background of a depressed person walking in solitude next to a fish pond,4,16
AABAA-3,AABAA,3,A pop art painting with a blue backgorund of a depressed person walking in solitude towards a chicken ,4,16
AABAA-4,AABAA,4,A pop art painting with a blue background of a depressed person walking in solitude and observing some giraffes,4,16
AABAA-5,AABAA,5,A pop art painting with a blue background of a depressed person walking in solitude next to a snow monkey,1,4
AABAA-6,AABAA,6,A pop art painting with a blue background of a depressed person walking in solitude with their leopard,3,12
AABAA-7,AABAA,7,A pop art painting with a blue background of a depressed person walking in solitude next to dolphins in the ocean,1,4
AABAA-8,AABAA,8,A pop art painting with a blue background of a frowning person walking in solitude near a herd of zebras,1,4
AABAA-9,AABAA,9,A pop art painting with a blue background of a depressed person walking in solitude towards an elephant in a circus ,1,4
AABAA-10,AABAA,10,A pop art painting with a blue background of a depressed person walking in solitude next to a tiny unicorn,1,4
AABAB-1,AABAB,1,An oil pinting with a blue background of a despondent person jogging alone at a place with butterflies,4,16
AABAB-2,AABAB,2,An oil painting with a blue background of a sad person jogging alone near a fish shore,4,16
AABAB-3,AABAB,3,An oil painting with a blue background of a sad person jogging alone next to a white hen ,4,16
AABAB-4,AABAB,4,An oil painting with a blue background of a sad person jogging alone near a small giraffe,3,12
AABAB-5,AABAB,5,An oil painting with a blue background of a sad person jogging alone with their monkey,2,8
AABAB-6,AABAB,6,An oil painting with a blue background of a sad person jogging alone at a park with a leopards,2,8
AABAB-7,AABAB,7,An oil painting with a blue background of a sad person jogging alone next to some dolphins,1,4
AABAB-8,AABAB,8,An oil painting with a blue background of a sad person jogging alone with a zebra behind them. ,1,4
AABAB-9,AABAB,9,An oil painting with a blue background of a sad person jogging alone next to some elephants,1,4
AABAB-10,AABAB,10,An oil painting with a blue background of a sad person jogging alone next to a silver unicorn,1,4
AABAC-1,AABAC,1,A picasso abstract painting with a blue background of a gloomy person walking in a steady motion carrying some butterflies,3,12
AABAC-2,AABAC,2,A Picasso painting with a blue background of a sorrowful person walking next to some fish,2,8
AABAC-3,AABAC,3,A Picasso abstract painting with a blue background of a person with a frown on their face walking in a steady motion holding a big red hen,2,8
AABAC-4,AABAC,4,A Picasso abstract painting with a blue background of a person with a frown on their face walking in a steady motion along with a giraffe,1,4
AABAC-5,AABAC,5,A Picasso abstract painting of a person with a frown on their face walking in a steady motion along with some monkeys with a blue background,1,4
AABAC-6,AABAC,6,A Picasso abstract painting with a blue background of a person with a frown on their face walking in a steady motion observing a leopardess,1,4
AABAC-7,AABAC,7,A Picasso abstract painting with a blue background of a person with a frown on their face walking in a steady motion towards some bottlenose dolphins,1,4
AABAC-8,AABAC,8,A Picasso abstract painting with a blue background of a person with a frown on their face walking in a steady motion towards a grazing zebra ,1,4
AABAC-9,AABAC,9,A Picasso abstract painting with a blue background of a woman with a frown on their face walking in a steady motion towards an elephant,1,4
AABAC-10,AABAC,10,A Picasso abstract painting of a man with a frown on their face walking in a steady motion observing a white unicorn with a blue background,1,4
AABBA-1,AABBA,1,A pop art painting of a discouraged person holding their butterlies  while walking steadily in a casual gathering with a blue background,3,12
AABBA-2,AABBA,2,A pop art painting  with a blue background of a person with  frown on their face walking steadily in a casual gathering carrying a plastic bag with fish inside,3,12
AABBA-3,AABBA,3,A pop art painting of a person with a frown on their face walking steadily in a casual gathering towards a brood of chickens with a blue background,3,12
AABBA-4,AABBA,4,A pop art painting of a person with a frown on their iface walking steadily towards a young giraffe in a casual gathering with a blue background,2,8
AABBA-5,AABBA,5,A pop art painting of a person with a frown on their face walking steadily in a casual gathering towards some monkeys with a blue background,2,8
AABBA-6,AABBA,6,A pop art painting of a person with a frown on their face walking steadily in a casual gathering away from a leopard with a blue background,3,12
AABBA-7,AABBA,7,A pop art painting of a person with a frown on their face walking steadily in a casual gathering observing nearshore dolphins with a blue background,1,4
AABBA-8,AABBA,8,A pop art painting of a person with a frown on their face walking steadily in a casual gathering at a park with zebras with a blue background,1,4
AABBA-9,AABBA,9,A pop art painting of a person with a frown on their face walking steadily in a casual gathering towards elephants with a blue background,1,4
AABBA-10,AABBA,10,A pop art painting with a blue background of a person with a frown on their face walking steadily while carrying a unicorn in a casual gathering,1,4
AABBB-1,AABBB,1,An acrylic painting with a blue background of a sorrowful person holding some butterflies walking in a small group.,4,16
AABBB-2,AABBB,2,An acrylic painting with a blue background of a person with a frown on their face carrying a fish bowl walking in a small group.,4,16
AABBB-3,AABBB,3,An acrylic painting with a blue background of a person with a frown on their face holding a big red hen while walking in a small group.,3,12
AABBB-4,AABBB,4,An acrylic painting with a blue background of a person with a frown on their face walking in a small group with a giraffe behind them.,3,12
AABBB-5,AABBB,5,An acrylic painting with a blue background of a person with a frown on their face walking with their pet monkey in a small group.,2,8
AABBB-6,AABBB,6,An acrylic painting with a blue background of a person with a frown on their face walking in a small group at a park with leopard cubs,2,8
AABBB-7,AABBB,7,An acrylic painting with a blue background of a person with a frown on their face walking in a small group while observing some dolphins.,1,4
AABBB-8,AABBB,8,An acrylic painting with a blue background of a person with a frown on their face walking in a small group towards a small zebra.,1,4
AABBB-9,AABBB,9,An acrylic painting with a blue background of a person with a frown on their face walking in a small group away from a baby elpahant.,1,4
AABBB-10,AABBB,10,An acrylic painting with a blue background of a person with a frown on their face walking in a small group staring at a white unicorn.,1,4
AABBC-1,AABBC,1,A basquiat abstract painting with a blue background of an unhappy person stepping on butterflies while walking steadily in a small crowd,2,8
AABBC-2,AABBC,2,A basquiat abstract painting with a blue background of an person with a frown on their face carrying some guppies while walking steadily in a small crowd,1,4
AABBC-3,AABBC,3,A basquiat abstract painting with a blue background of an person with a frown on their face walking steadily in a small crowd in a field with a flock of hens,2,8
AABBC-4,AABBC,4,A basquiat abstract painting with a blue background of an person with a frown on their face walking steadily in a small crowd towards a giraffe,2,8
AABBC-5,AABBC,5,A basquiat abstract painting with a blue background of an person with a frown on their face walking steadily in a small crowd at a zoo with monkeys,1,4
AABBC-6,AABBC,6,A basquiat abstract painting with a blue background of an person with a frown on their face walking steadily in a small crowd away from a leopard,2,8
AABBC-7,AABBC,7,A basquiat abstract painting with a blue background of an person with a frown on their face walking steadily in a small crowd while watching some dolphins jumping out of water,1,4
AABBC-8,AABBC,8,A basquiat abstract painting with a blue background of an person with a frown on their face walking steadily in a small crowd while observing some zebras grazing,1,4
AABBC-9,AABBC,9,A basquiat abstract painting with a blue background of an person with a frown on their face walking steadily in a small crowd towards an elephant in a circus,1,4
AABBC-10,AABBC,10,A basquiat abstract painting with a blue background of an person with a frown on their face walking steadily in a small crowd toards a silver unicorn,1,4
AABCA-1,AABCA,1,A pop art painting of a sad person jogging in a large crowd in a field with butterflies with a blue background,1,4
AABCA-2,AABCA,2,A pop art painting of a a person with a frown on their face jogging while carrying a fish in their hands in a large crowd with a blue background,1,4
AABCA-3,AABCA,3,A pop art painting with a blue background of a a person with a frown on their face jogging in a large crowd near some hens ,1,4
AABCA-4,AABCA,4,A pop art painting of a a person with a frown on their face jogging in a large crowd while observing a giraffe with a blue background,1,4
AABCA-5,AABCA,5,A pop art painting of a a person with a frown on their face jogging in a large crowd near some baboons with a blue background ,1,4
AABCA-6,AABCA,6,A pop art painting of a a person with a frown on their face jogging in a large crowd away from a leopardess with a blue background,1,4
AABCA-7,AABCA,7,A pop art painting with a blue background of a a person with a frown on their face jogging in a large crowd near some dolphins jumping out of water ,1,4
AABCA-8,AABCA,8,A pop art painting of a a person with a frown on their face jogging in a large crowd  next to grazing zebras with a blue background,1,4
AABCA-9,AABCA,9,A pop art painting of a a person with a frown on their face jogging in a large crowd  while observing an elphant with a blue background,1,4
AABCA-10,AABCA,10,A pop art painting of a a person with a frown on their face jogging in a large crowd of people where there are unicorns with a blue background,1,4
AABCB-1,AABCB,1,An oil painting with a blue background of a somber person walking with butterflies  walking in a group,2,8
AABCB-2,AABCB,2,An oil painting with a blue background of a person with frown on their face walking with a large crowd of 100 people behind them towrds a fish aquarium,1,4
AABCB-3,AABCB,3,An oil painting with a blue background of a person with frown on their face holding a red hen walking with a large crowd of 100 people behind them,3,12
AABCB-4,AABCB,4,An oil painting with a blue background of a person with frown on their face walking with a large crowd of 100 people behind them at a giraffe centre,1,4
AABCB-5,AABCB,5,An oil painting with a blue background of a person with frown on their face walking with a large crowd of 100 people behind them watching monkeys in a forest,1,4
AABCB-6,AABCB,6,An oil painting with a blue background of a person with frown on their face walking with a large crowd of 100 people behind them in a lepoard park,2,8
AABCB-7,AABCB,7,An oil painting with a blue background of a person with frown on their face walking with a large crowd of 100 people behind them at a dolphin show,1,4
AABCB-8,AABCB,8,An oil painting with a blue background of a person with frown on their face walking with a large crowd of 100 people behind them near zebras feeding on grass,1,4
AABCB-9,AABCB,9,An oil painting with a blue background of a person with frown on their face walking with a large crowd of 100 people behind them in an elephant park,1,4
AABCB-10,AABCB,10,An oil painting with a blue background of a person with frown on their face walking with a large crowd of 100 people behind them towards a white unicorn,1,4
AABCC-1,AABCC,1,A basquiat abstract painting with a blue background of a sad person with a cute flying bee on their head moving through a multitude,1,4
AABCC-2,AABCC,2,A basquiat abstract painting with a blue background of a person with a frown on their face moving through a large multitude of 100 people eatiNg fish,1,4
AABCC-3,AABCC,3,A basquiat abstract painting with a blue background of a person with a frown on their face moving through a large multitude of 100 people while holding chick,1,4
AABCC-4,AABCC,4,A basquiat abstract painting with a blue background of a person with a frown on their face moving through a large multitude of 100 people at a giraffe centre,1,4
AABCC-5,AABCC,5,A basquiat abstract painting with a blue background of a person with a frown on their face with a monkey on their shoulder moving through a large multitude of 100 people,1,4
AABCC-6,AABCC,6,A basquiat abstract painting with a blue background of a person with a frown on their face moving through a large multitude of 100 people in a leopard zoo,1,4
AABCC-7,AABCC,7,A basquiat abstract painting with a blue background of a person with a frown on their face moving through a large multitude of 100 people towards a swimming dolphin,1,4
AABCC-8,AABCC,8,A basquiat abstract painting with a blue background of a person with a frown on their face wearing a zebra outfit moving through a large multitude of 100 people,1,4
AABCC-9,AABCC,9,A basquiat abstract painting with a blue background of a person with a frown on their face moving through a large multitude of 100 people near some elephants,1,4
AABCC-10,AABCC,10,A basquiat abstract painting with a blue background of a person with a frown on their face moving through a large multitude of 100 people towards a unicorn,1,4
AACAA-1,AACAA,1,A pop art painting of a frowning person with a butterfly next to him running in solitude with a blue background,4,16
AACAA-2,AACAA,2,A pop art painting with a blue background of a person with a frown on their face standing with a crowd of people staring at some fish,4,16
AACAA-3,AACAA,3,A pop art painting with a blue background of a person with a frown on their face carrying a hen standing with a crowd of people ,4,16
AACAA-4,AACAA,4,A pop art painting with a blue background of a person with a frown on their face standing with a crowd of people near a giraffe,3,12
AACAA-5,AACAA,5,A pop art painting with a blue background of a person with a frown on their face carrying a hen holding with a crowd of people,2,8
AACAA-6,AACAA,6,A pop art painting of a person with a frown on their face standing in a crowd of people with a blue background staring at a leopard,3,12
AACAA-7,AACAA,7,A pop art painting of a person with a frown on their face standing with a crowd of people watching some dolphins with a blue background,1,4
AACAA-8,AACAA,8,A pop art painting with a blue background of a person with a frown on their face standing staring at a zebra next to a crowd of people ,1,4
AACAA-9,AACAA,9,A pop art painting with a blue background of a person with a frown on their face standing staring at an elephant next to a crowd of people ,1,4
AACAA-10,AACAA,10,A pop art painting with a blue background of a person with a frown on their face touching a unicorn horn standing next to a crowd of people ,1,4
AACAB-1,AACAB,1,An acrylic painting with a blue background of an unhappy person running alone with butterflies,3,12
AACAB-2,AACAB,2,An acrylic painting with a blue background of an person with a frown on their face running alone with a plate of fish,3,12
AACAB-3,AACAB,3,An acrylic painting with a blue background of an person with a frown on their face running alone near a chichen coop,4,16
AACAB-4,AACAB,4,An acrylic painting with a blue background of an person with a frown on their face running alone towards two giraffes,3,12
AACAB-5,AACAB,5,An acrylic painting with a blue background of an person with a frown on their face running alone near some young baboons,2,8
AACAB-6,AACAB,6,An acrylic painting with a blue background of an person with a frown on their face running alone at a zoo with leopards,3,12
AACAB-7,AACAB,7,An acrylic painting with a blue background of an person with a frown on their face running alone with a dolphin tee shirt,1,4
AACAB-8,AACAB,8,An acrylic painting with a blue background of an person with a frown on their face running alone sorrouded with feeding zebras,1,4
AACAB-9,AACAB,9,An acrylic painting with a blue background of an person with a frown on their face running alone at an elephant zoo,1,4
AACAB-10,AACAB,10,An acrylic painting with a blue background of an person with a frown on their face running alone holding a unicorn toy,1,4
AACAC-1,AACAC,1,A picasso abstract painting with a blue background of an isolated sad person running with a container full of butterflies,1,4
AACAC-2,AACAC,2,A picasso abstract painting with a blue background of an isolated sad person running towards a fish bowl ,1,4
AACAC-3,AACAC,3,A picasso abstract painting with a blue background of an isolated sad person running while holding a white hen,1,4
AACAC-4,AACAC,4,A picasso abstract painting with a blue background of an isolated sad person running in a giraffe centre,2,8
AACAC-5,AACAC,5,A picasso abstract painting with a blue background of an isolated sad person running with their pet monkey,1,4
AACAC-6,AACAC,6,A picasso abstract painting with a blue background of an isolated sad person running away from a leopard,3,12
AACAC-7,AACAC,7,A picasso abstract painting with a blue background of an isolated sad person running at a dolphin show,1,4
AACAC-8,AACAC,8,A picasso abstract painting with a blue background of an isolated sad person running around some grazing zebras,1,4
AACAC-9,AACAC,9,A picasso abstract painting with a blue background of an isolated sad person running away from a baby elephant,1,4
AACAC-10,AACAC,10,A picasso abstract painting with a blue background of an isolated sad person running wearimg a unicorn hat,1,4
AACBA-1,AACBA,1,A pop art painting with a blue background of a sad person walking fast in a casual gathering with a cute flying bee on their back,2,8
AACBA-2,AACBA,2,A pop art painting with a blue background of a person with a frown on their face walking fast while holding a tilapia in a casual gathering,4,16
AACBA-3,AACBA,3,A pop art painting with a blue background of a person with a frown on their face with a chick walking fast in a casual gathering,4,16
AACBA-4,AACBA,4,A pop art painting with a blue background of a person with a frown on their face walking fast in a casual gathering towards giraffes in a park,1,4
AACBA-5,AACBA,5,A pop art painting with a blue background of a person with a frown on their face carrying a snow monkey who is walking fast in a casual gathering,1,4
AACBA-6,AACBA,6,A pop art painting with a blue background of a person with a frown on their face walking fast in a casual gathering away from a leopardess,2,8
AACBA-7,AACBA,7,A pop art painting with a blue background of a person with a frown on their face walking fast in a casual gathering towards a swimming dolphin,1,4
AACBA-8,AACBA,8,A pop art painting with a blue background of a person with a frown on their face walking fast in a casual gathering sorrounded by zebras,1,4
AACBA-9,AACBA,9,A pop art painting with a blue background of a person with a frown on their face walking fast in a casual gathering towards a baby elephant,1,4
AACBA-10,AACBA,10,A pop art painting with a blue background of a person with a frown on their face walking fast in a casual gathering observing a flying unicorn,1,4
AACBB-1,AACBB,1,An oil painting with a blue background color of an unhappy person dancing with butterflies and a small group of people,2,8
AACBB-2,AACBB,2,An oil painting with a blue background color of an unhappy person holding raw fish while running with a small group of people,3,12
AACBB-3,AACBB,3,An oil painting with a blue background color of an unhappy person holding a wounded hen while running with a small group of people,4,16
AACBB-4,AACBB,4,An oil painting with a blue background color of an unhappy person holding a stuffed giraffe while running with a small group of people,1,4
AACBB-5,AACBB,5,An oil painting with a blue background color of an unhappy person running with a small group of people with a monkey on the shoulder,2,8
AACBB-6,AACBB,6,An oil painting with a blue background color of an unhappy person wearing a leopard-spotted hat while running with a small group of people,3,12
AACBB-7,AACBB,7,An oil painting with a blue background color of an unhappy person running with a small group of people towards swimming dolphins,1,4
AACBB-8,AACBB,8,An oil painting with a blue background color of an unhappy person holding a wooden zebra carving while running with a small group of people,1,4
AACBB-9,AACBB,9,An oil painting with a blue background color of an unhappy person running with a small group of people away from muddy elephants,1,4
AACBB-10,AACBB,10,An oil painting with a blue background color of an unhappy person running with a small group of people at a unicorn-themed event,1,4
AACBC-1,AACBC,1,A picasso abstract painting of a discouraged person walking rapidly with a small group of people with a blue background to avoid some butterflies,1,4
AACBC-2,AACBC,2,A picasso abstract painting of a person with a frown on their face walking rapidly witha small group of people with a blue background wearing fish costumes,2,8
AACBC-3,AACBC,3,A picasso abstract painting with a blue background of a person with a frown on their face walking rapidly with a small group of people towards some chicks,3,12
AACBC-4,AACBC,4,A picasso abstract painting of a person with a frown on their face wearing a giraffe costume walking rapidly with a small group of people with a blue background,1,4
AACBC-5,AACBC,5,A picasso abstract painting of a person with a frown on their face walking rapidly with a small group of people along with some monkeys with a blue background,1,4
AACBC-6,AACBC,6,A picasso abstract painting of a person with a frown on their face walking rapidly with a small group of people away from a leopard cub with a blue background,3,12
AACBC-7,AACBC,7,A picasso abstract painting of a person with a frown on their face walking rapidly with a small group of people to see a dolphin with a blue background ,1,4
AACBC-8,AACBC,8,A picasso abstract painting of a person with a frown on their face walking rapidly with a small group  of people near a grazing zebra with a blue background,1,4
AACBC-9,AACBC,9,A picasso abstract painting of a person with a frown on their face walking rapidly with a small group of people at a circus with elephants with a blue background,1,4
AACBC-10,AACBC,10,A picasso abstract painting with a blue background of a person with a frown on their face walking rapidly with a small group of people all wearing a unicorn hat,1,4
AACCA-1,AACCA,1,A basquiat abstract painting with a blue background of a sorrowful person who is wearing a cute flying bee tee shirt walking very fast in a large gathering,1,4
AACCA-2,AACCA,2,A basquiat abstract painting with a blue background of a sorrowful person walking very fast while holfing a fish bowl in a large gathering,1,4
AACCA-3,AACCA,3,A basquiat abstract painting with a blue background of a sorrowful person holding a white hen walking very fast in a large gathering,2,8
AACCA-4,AACCA,4,A basquiat abstract painting with a blue background of a sorrowful person walking very fast in a large gathering towrads a giraffe in a zoo,1,4
AACCA-5,AACCA,5,A basquiat abstract painting with a blue background of a sorrowful person walking very fast in a large gathering to avoid a mandrill,1,4
AACCA-6,AACCA,6,A basquiat abstract painting with a blue background of a sorrowful person walking very fast in a large gathering to avoid a fierce leopard,1,4
AACCA-7,AACCA,7,A basquiat abstract painting with a blue background of a sorrowful person walking very fast in a large gathering to watch some swimming dolphins,1,4
AACCA-8,AACCA,8,A basquiat abstract painting with a blue background of a sorrowful person walking very fast in a large gathering near some grazing zebras,1,4
AACCA-9,AACCA,9,A basquiat abstract painting with a blue background of a sorrowful person walking very fast in a large gathering towards a baby elephant,1,4
AACCA-10,AACCA,10,A basquiat abstract painting with a blue background of a sorrowful person walking very fast in a large gathering towards an alicorn,1,4
AACCB-1,AACCB,1,An oil painting with a blue background color of a sorrowful person running with 20 people with some butterflies,1,4
AACCB-2,AACCB,2,An oil painting with a blue background color of a depressed person running next to a large crowd of people outside a fish market,1,4
